SMT Solver,Method,Template,Strengthen,Num Disjunctions,NetBSD_loop_true-unreach-call_true-termination.sl_32bits_unsigned,NetBSD_loop_true-unreach-call_true-termination.sl_64bits_unsigned,anfp-new.sl_32bits_unsigned,anfp-new.sl_64bits_unsigned,anfp.sl_32bits_unsigned,anfp.sl_64bits_unsigned,array-new.sl_32bits_unsigned,array-new.sl_64bits_unsigned,array.sl_32bits_unsigned,array.sl_64bits_unsigned,array_simp.sl_32bits_unsigned,array_simp.sl_64bits_unsigned,array_vars.sl_32bits_unsigned,array_vars.sl_64bits_unsigned,bhmr2007_true-unreach-call_true-termination.sl_32bits_unsigned,bhmr2007_true-unreach-call_true-termination.sl_64bits_unsigned,cegar1-new.sl_32bits_unsigned,cegar1-new.sl_64bits_unsigned,cegar1.sl_32bits_unsigned,cegar1.sl_64bits_unsigned,cegar1_vars-new.sl_32bits_unsigned,cegar1_vars-new.sl_64bits_unsigned,cegar1_vars.sl_32bits_unsigned,cegar1_vars.sl_64bits_unsigned,cegar2-new.sl_32bits_unsigned,cegar2-new.sl_64bits_unsigned,cegar2.sl_32bits_unsigned,cegar2.sl_64bits_unsigned,cegar2_vars-new.sl_32bits_unsigned,cegar2_vars-new.sl_64bits_unsigned,cegar2_vars.sl_32bits_unsigned,cegar2_vars.sl_64bits_unsigned,cggmp-new.sl_32bits_unsigned,cggmp-new.sl_64bits_unsigned,cggmp.sl_32bits_unsigned,cggmp.sl_64bits_unsigned,cggmp2005_true-unreach-call_true-termination.sl_32bits_unsigned,cggmp2005_true-unreach-call_true-termination.sl_64bits_unsigned,cggmp2005_variant_true-unreach-call_true-termination.sl_32bits_unsigned,cggmp2005_variant_true-unreach-call_true-termination.sl_64bits_unsigned,const_false-unreach-call1.sl_32bits_unsigned,const_false-unreach-call1.sl_64bits_unsigned,const_true-unreach-call1.sl_32bits_unsigned,const_true-unreach-call1.sl_64bits_unsigned,count_by_1_true-unreach-call_true-termination.sl_32bits_unsigned,count_by_1_true-unreach-call_true-termination.sl_64bits_unsigned,count_by_1_variant_true-unreach-call_true-termination.sl_32bits_unsigned,count_by_1_variant_true-unreach-call_true-termination.sl_64bits_unsigned,count_by_2_true-unreach-call_true-termination.sl_32bits_unsigned,count_by_2_true-unreach-call_true-termination.sl_64bits_unsigned,count_by_k_true-unreach-call_true-termination.sl_32bits_unsigned,count_by_k_true-unreach-call_true-termination.sl_64bits_unsigned,count_by_nondet_true-unreach-call_true-termination.sl_32bits_unsigned,count_by_nondet_true-unreach-call_true-termination.sl_64bits_unsigned,count_up_down_false-unreach-call_true-termination.sl_32bits_unsigned,count_up_down_false-unreach-call_true-termination.sl_64bits_unsigned,css2003_true-unreach-call_true-termination.sl_32bits_unsigned,css2003_true-unreach-call_true-termination.sl_64bits_unsigned,dec-new.sl_32bits_unsigned,dec-new.sl_64bits_unsigned,dec.sl_32bits_unsigned,dec.sl_64bits_unsigned,dec_simpl-new.sl_32bits_unsigned,dec_simpl.sl_32bits_unsigned,dec_simpl.sl_64bits_unsigned,dec_vars-new.sl_32bits_unsigned,dec_vars.sl_32bits_unsigned,dec_vars.sl_64bits_unsigned,down_true-unreach-call_true-termination.sl_32bits_unsigned,ex11-new.sl_32bits_unsigned,ex11-new.sl_64bits_unsigned,ex11.sl_32bits_unsigned,ex11.sl_64bits_unsigned,ex11_simpl-new.sl_32bits_unsigned,ex11_simpl-new.sl_64bits_unsigned,ex11_simpl.sl_32bits_unsigned,ex11_vars-new.sl_32bits_unsigned,ex11_vars-new.sl_64bits_unsigned,ex14-new.sl_32bits_unsigned,ex14-new.sl_64bits_unsigned,ex14.sl_32bits_unsigned,ex14.sl_64bits_unsigned,ex23.sl_32bits_unsigned,ex23.sl_64bits_unsigned,ex7.sl_32bits_unsigned,ex7.sl_64bits_unsigned,ex7_vars.sl_32bits_unsigned,ex7_vars.sl_64bits_unsigned,ex_23_vars.sl_32bits_unsigned,ex_23_vars.sl_64bits_unsigned,fib_04.sl_32bits_unsigned,fib_04.sl_64bits_unsigned,fib_07.sl_32bits_unsigned,fib_07.sl_64bits_unsigned,fib_09s.sl_32bits_unsigned,fib_09s.sl_64bits_unsigned,fib_10.sl_32bits_unsigned,fib_10.sl_64bits_unsigned,fib_11.sl_32bits_unsigned,fib_11.sl_64bits_unsigned,fib_13.sl_32bits_unsigned,fib_13.sl_64bits_unsigned,fib_14.sl_32bits_unsigned,fib_14.sl_64bits_unsigned,fib_15.sl_32bits_unsigned,fib_15.sl_64bits_unsigned,fib_16.sl_32bits_unsigned,fib_16.sl_64bits_unsigned,fib_17n.sl_32bits_unsigned,fib_17n.sl_64bits_unsigned,fib_18.sl_32bits_unsigned,fib_18.sl_64bits_unsigned,fib_19.sl_32bits_unsigned,fib_19.sl_64bits_unsigned,fib_20.sl_32bits_unsigned,fib_20.sl_64bits_unsigned,fib_21.sl_32bits_unsigned,fib_21.sl_64bits_unsigned,fib_23_x.sl_32bits_unsigned,fib_23_x.sl_64bits_unsigned,fib_25n.sl_32bits_unsigned,fib_25n.sl_64bits_unsigned,fib_28.sl_32bits_unsigned,fib_28.sl_64bits_unsigned,fib_30_x.sl_32bits_unsigned,fib_30_x.sl_64bits_unsigned,fib_32.sl_32bits_unsigned,fib_32.sl_64bits_unsigned,fib_35.sl_32bits_unsigned,fib_35.sl_64bits_unsigned,fib_37.sl_32bits_unsigned,fib_37.sl_64bits_unsigned,fib_41.sl_32bits_unsigned,fib_41.sl_64bits_unsigned,fib_44.sl_32bits_unsigned,fib_44.sl_64bits_unsigned,fig1_vars-new.sl_32bits_unsigned,fig1_vars-new.sl_64bits_unsigned,fig1_vars.sl_32bits_unsigned,fig1_vars.sl_64bits_unsigned,fig3.sl_32bits_unsigned,fig3.sl_64bits_unsigned,fig3_vars.sl_32bits_unsigned,fig3_vars.sl_64bits_unsigned,fig9.sl_32bits_unsigned,fig9.sl_64bits_unsigned,fig9_vars.sl_32bits_unsigned,fig9_vars.sl_64bits_unsigned,for_bounded_loop1_false-unreach-call_true-termination.sl_32bits_unsigned,for_bounded_loop1_false-unreach-call_true-termination.sl_64bits_unsigned,for_infinite_loop_1_true-unreach-call_false-termination.sl_32bits_unsigned,for_infinite_loop_1_true-unreach-call_false-termination.sl_64bits_unsigned,formula22.sl_32bits_unsigned,formula22.sl_64bits_unsigned,formula25.sl_32bits_unsigned,formula25.sl_64bits_unsigned,formula27.sl_32bits_unsigned,formula27.sl_64bits_unsigned,gauss_sum-more-rows.auto.sl_32bits_unsigned,gauss_sum-more-rows.auto.sl_64bits_unsigned,gj2007_true-unreach-call_true-termination.sl_32bits_unsigned,gj2007_true-unreach-call_true-termination.sl_64bits_unsigned,gj2007b_true-unreach-call_true-termination.sl_32bits_unsigned,gj2007b_true-unreach-call_true-termination.sl_64bits_unsigned,gr2006_true-unreach-call_true-termination.sl_32bits_unsigned,gr2006_true-unreach-call_true-termination.sl_64bits_unsigned,gsv2008_true-unreach-call_true-termination.sl_32bits_unsigned,gsv2008_true-unreach-call_true-termination.sl_64bits_unsigned,hhk2008_true-unreach-call_true-termination.sl_32bits_unsigned,hhk2008_true-unreach-call_true-termination.sl_64bits_unsigned,inc.sl_32bits_unsigned,inc.sl_64bits_unsigned,inc_simp.sl_32bits_unsigned,inc_simp.sl_64bits_unsigned,inc_vars.sl_32bits_unsigned,inc_vars.sl_64bits_unsigned,jm2006_true-unreach-call_true-termination.sl_32bits_unsigned,jm2006_true-unreach-call_true-termination.sl_64bits_unsigned,jm2006_variant_true-unreach-call_true-termination.sl_32bits_unsigned,jm2006_variant_true-unreach-call_true-termination.sl_64bits_unsigned,matrix2.sl_32bits_unsigned,matrix2.sl_64bits_unsigned,matrix2_simp.sl_32bits_unsigned,minor1.sl_32bits_unsigned,minor1.sl_64bits_unsigned,minor3.sl_32bits_unsigned,minor3.sl_64bits_unsigned,multivar_false-unreach-call1_true-termination.sl_32bits_unsigned,multivar_false-unreach-call1_true-termination.sl_64bits_unsigned,multivar_true-unreach-call1_true-termination.sl_32bits_unsigned,multivar_true-unreach-call1_true-termination.sl_64bits_unsigned,non-lin-ineq-1.desugared.sl_32bits_unsigned,non-lin-ineq-1.desugared.sl_64bits_unsigned,non-lin-ineq-2.desugared.sl_32bits_unsigned,non-lin-ineq-2.desugared.sl_64bits_unsigned,non-lin-ineq-4.desugared.sl_32bits_unsigned,non-lin-ineq-4.desugared.sl_64bits_unsigned,s9.desugared.sl_32bits_unsigned,s9.desugared.sl_64bits_unsigned,s_split_05.smt2safe_32bits_unsigned,s_split_05.smt2safe_64bits_unsigned,s_split_05.smt2unsafe_32bits_unsigned,s_split_05.smt2unsafe_64bits_unsigned,s_split_07.smt2safe_32bits_unsigned,s_split_07.smt2safe_64bits_unsigned,s_split_17.smt2safe_32bits_unsigned,s_split_17.smt2safe_64bits_unsigned,s_split_23.smt2safe_32bits_unsigned,s_split_23.smt2safe_64bits_unsigned,s_split_28.smt2safe_32bits_unsigned,s_split_28.smt2safe_64bits_unsigned,s_split_28.smt2unsafe_32bits_unsigned,s_split_28.smt2unsafe_64bits_unsigned,s_split_29.smt2safe_32bits_unsigned,s_split_29.smt2safe_64bits_unsigned,s_split_34.smt2safe_32bits_unsigned,s_split_34.smt2safe_64bits_unsigned,s_split_34.smt2unsafe_32bits_unsigned,s_split_34.smt2unsafe_64bits_unsigned,s_split_36.smt2unsafe_32bits_unsigned,s_split_36.smt2unsafe_64bits_unsigned,s_split_38.smt2safe_32bits_unsigned,s_split_38.smt2safe_64bits_unsigned,s_split_39.smt2safe_32bits_unsigned,s_split_39.smt2safe_64bits_unsigned,s_split_42.smt2safe_32bits_unsigned,s_split_42.smt2safe_64bits_unsigned,s_split_43.smt2safe_32bits_unsigned,s_split_45.smt2safe_32bits_unsigned,s_split_45.smt2safe_64bits_unsigned,s_split_45.smt2unsafe_32bits_unsigned,s_split_45.smt2unsafe_64bits_unsigned,s_split_46.smt2safe_32bits_unsigned,s_split_54.smt2safe_32bits_unsigned,s_split_54.smt2safe_64bits_unsigned,s_split_54.smt2unsafe_32bits_unsigned,s_split_54.smt2unsafe_64bits_unsigned,sendmail-close-angle_true-unreach-call_true-termination.sl_32bits_unsigned,sendmail-close-angle_true-unreach-call_true-termination.sl_64bits_unsigned,seq_true-unreach-call_true-termination.sl_32bits_unsigned,seq_true-unreach-call_true-termination.sl_64bits_unsigned,simple_false-unreach-call2_true-termination.sl_32bits_unsigned,simple_false-unreach-call2_true-termination.sl_64bits_unsigned,simple_vardep_true-unreach-call1_true-termination.sl_32bits_unsigned,simple_vardep_true-unreach-call1_true-termination.sl_64bits_unsigned,simple_vardep_true-unreach-call2_true-termination.sl_32bits_unsigned,simple_vardep_true-unreach-call2_true-termination.sl_64bits_unsigned,sum01_bug02_false-unreach-call_true-termination.sl_32bits_unsigned,sum01_bug02_false-unreach-call_true-termination.sl_64bits_unsigned,sum01_bug02_sum01_bug02_base.sl_32bits_unsigned,sum01_bug02_sum01_bug02_base.sl_64bits_unsigned,sum01_false-unreach-call_true-termination.sl_32bits_unsigned,sum01_false-unreach-call_true-termination.sl_64bits_unsigned,sum03_true-unreach-call_false-termination.sl_32bits_unsigned,sum03_true-unreach-call_false-termination.sl_64bits_unsigned,sum1.sl_32bits_unsigned,sum1.sl_64bits_unsigned,sum1_vars.sl_32bits_unsigned,sum1_vars.sl_64bits_unsigned,sum3.sl_32bits_unsigned,sum3.sl_64bits_unsigned,sum3_vars.sl_32bits_unsigned,sum3_vars.sl_64bits_unsigned,sum4.sl_32bits_unsigned,sum4.sl_64bits_unsigned,sum4_simp.sl_32bits_unsigned,sum4_simp.sl_64bits_unsigned,sum4_vars.sl_32bits_unsigned,sum4_vars.sl_64bits_unsigned,tacas.sl_32bits_unsigned,tacas.sl_64bits_unsigned,tacas_vars.sl_32bits_unsigned,tacas_vars.sl_64bits_unsigned,terminator_02_true-unreach-call_true-termination.sl_32bits_unsigned,terminator_02_true-unreach-call_true-termination.sl_64bits_unsigned,terminator_03_true-unreach-call_true-termination.sl_32bits_unsigned,terminator_03_true-unreach-call_true-termination.sl_64bits_unsigned,treax1.sl_32bits_unsigned,treax1.sl_64bits_unsigned,trex1_vars.sl_32bits_unsigned,trex1_vars.sl_64bits_unsigned,underapprox_false-unreach-call1_true-termination.sl_32bits_unsigned,underapprox_false-unreach-call1_true-termination.sl_64bits_unsigned,underapprox_true-unreach-call2_true-termination.sl_32bits_unsigned,underapprox_true-unreach-call2_true-termination.sl_64bits_unsigned,up_true-unreach-call_true-termination.sl_32bits_unsigned,up_true-unreach-call_true-termination.sl_64bits_unsigned,vardep.sl_32bits_unsigned,vardep.sl_64bits_unsigned,vsend.sl_32bits_unsigned,vsend.sl_64bits_unsigned,w1.sl_32bits_unsigned,w1.sl_64bits_unsigned,while_infinite_loop_3_true-unreach-call_false-termination.sl_32bits_unsigned,while_infinite_loop_3_true-unreach-call_false-termination.sl_64bits_unsigned,while_infinite_loop_4_false-unreach-call_true-termination.sl_32bits_unsigned,while_infinite_loop_4_false-unreach-call_true-termination.sl_64bits_unsigned
,cvc5sys,,False,1,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,Err,Err,Err,Err,Err,Err,Err,Err,U,U,T,T,U,U,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,U,U,T,T,T,T,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,F,U,U,U,U,F,F,F,Err,Err,U,U,U,U,T,T,T,T,T,T,T,T,U,U,T,T,U,U,T,T,T,T,Err,Err,T,T,U,U,T,T,T,T,T,T,T,T,T,T,T,T,U,U,Err,Err,T,T,U,U,T,T,T,T,T,T,T,T,T,T,F,F,F,F,T,T,T,T,U,U,U,U,T,T,T,T,F,F,F,F,F,F,T,T,T,T,T,T,U,U,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,U,U,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,Err,Err,Err,Err,Err,Err,T,T,T,T,F,F,T,T,T,T,T,T,T,T,F,Err,Err,Err,Err,F,Err,Err,Err,Err,F,F,T,T,U,U,T,T,T,T,T,T,T,T,T,T,Err,Err,T,T,T,T,T,T,T,T,U,U,T,T,T,T,T,T,T,T,U,U,T,T,T,T,T,T,T,T,T,T,T,T,U,U,U,U,T,T,F,F,F,F
CSmsat,efsmt,power_bv_octagon,False,10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,T,T,X,X,X,X,X,X,Err,Err,Err,Err,Err,Err,X,X,X,X,X,X,X,X,Err,Err,Err,Err,U,X,X,X,X,X,X,Err,Err,Err,Err,T,X,U,X,X,X,X,T,T,X,X,X,X,X,X,X,X,T,T,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,U,X,X,U,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,Err,Err,Err,Err
mc,efsmt,bv_octagon,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,T,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,U,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,U,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,U,U
CSbtor,efsmt,power_bv_poly,True,10,Err,Err,X,X,X,X,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,T,T,T,T,T,T,U,T,T,U,T,T,X,T,T,T,T,T,T,X,X,X,T,T,T,T,X,X,X,X,X,X,X,X,T,T,X,X,T,T,X,X,X,X,X,X,X,X,T,T,X,X,X,X,X,X,X,X,X,X,X,X,T,T,X,X,X,X,T,T,X,X,T,T,X,X,Err,Err,X,X,U,U,U,U,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,T,T,T,T,T,T,T,T,X,X,T,T,T,T,T,T,X,X,X,X,X,X,X,U,U,T,T,X,X,X,X,T,T,X,X,X,X,Err,Err,X,X,X,X,U,U,X,X,X,X,X,X,X,X,X,X,U,U,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,X,X,X,X,X,X,T,T,X,X,T,T,Err,Err,T,T,T,T,U,U
bitwuzla,efsmt,power_bv_poly,False,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U
CScvc4,efsmt,power_bv_octagon,False,2,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,U,U,U,U,X,U,X,X,X,X,Err,Err,Err,Err,Err,Err,X,X,X,X,U,X,U,U,Err,Err,Err,Err,U,T,T,U,X,X,U,Err,Err,Err,Err,T,T,X,X,X,X,X,T,T,X,X,X,X,X,X,X,X,T,T,X,X,X,X,T,T,X,U,U,U,X,U,X,X,U,U,X,X,U,U,X,X,U,X,X,X,X,X,X,X,U,U,X,X,X,X,X,U,X,U,Err,Err,U,X,U,U,U,U,U,U,X,U,T,T,X,X,T,X,X,X,U,U,U,X,X,U,X,X,X,X,X,X,X,X,T,T,X,X,Err,Err,U,X,X,X,X,X,X,X,U,X,U,Err,Err,X,X,U,U,U,U,X,X,U,X,X,X,Err,Err,T,T,T,T,U,U,X,X,X,X,X,U,U,X,X,X,U,U,T,T,U,U,X,X,X,X,X,X,X,T,T,T,T,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,U,U,U,U,X,X,X,U,U,X,U,U,X,U,U,U,X,X,X,X,X,X,X,X,T,T,T,T,X,X,X,X,X,U,X,X,X,X,X,X,Err,Err,U,X,Err,Err,Err,Err
z3,efsmt,bv_poly,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,T,T,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U
z3qbf,efsmt,power_bv_interval,True,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
bitwuzla,efsmt,bv_interval,False,1,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,T,T,U,T,T,U,T,T,T,T,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,T,U,T,T,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,T,T,U,U,U,U,T,T,U,U,T,T,U,U
z3qbf,efsmt,power_bv_octagon,True,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,Err,Err,Err,Err,X,X,X,X,X,X,X,X,Err,Err,Err,Err,X,X,X,X,X,X,X,Err,Err,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,Err,Err
