Bits,Source,Template,Solver,Safe,Unknown,Timeout
32bits_unsigned,2022.multi-phase,bv_octagon,cegisyices,4,15,31
32bits_unsigned,2022.multi-phase,bv_octagon,z3,4,46,0
32bits_unsigned,2022.multi-phase,bv_octagon,q3b,4,46,0
32bits_unsigned,2022.multi-phase,bv_poly,cegisyices,3,19,28
32bits_unsigned,2022.multi-phase,bv_poly,z3,2,48,0
32bits_unsigned,2022.multi-phase,bv_poly,q3b,3,47,0
32bits_unsigned,2022.multi-phase,bv_interval,cegisyices,6,18,26
32bits_unsigned,2022.multi-phase,bv_interval,z3,7,43,0
32bits_unsigned,2022.multi-phase,bv_interval,q3b,5,45,0
32bits_unsigned,2022.multi-phase,bv_zone,cegisyices,3,39,8
32bits_unsigned,2022.multi-phase,bv_zone,z3,3,47,0
32bits_unsigned,2022.multi-phase,bv_zone,q3b,3,47,0
32bits_unsigned,2018.SV-Comp,bv_zone,cegisyices,9,33,1
32bits_unsigned,2018.SV-Comp,bv_zone,z3,8,35,0
32bits_unsigned,2018.SV-Comp,bv_zone,q3b,8,35,0
32bits_unsigned,2018.SV-Comp,bv_interval,cegisyices,10,28,5
32bits_unsigned,2018.SV-Comp,bv_interval,z3,12,31,0
32bits_unsigned,2018.SV-Comp,bv_interval,q3b,11,32,0
32bits_unsigned,2018.SV-Comp,bv_octagon,cegisyices,9,26,8
32bits_unsigned,2018.SV-Comp,bv_octagon,z3,12,31,0
32bits_unsigned,2018.SV-Comp,bv_octagon,q3b,7,36,0
32bits_unsigned,2018.SV-Comp,bv_poly,cegisyices,5,24,14
32bits_unsigned,2018.SV-Comp,bv_poly,z3,4,39,0
32bits_unsigned,2018.SV-Comp,bv_poly,q3b,6,37,0
32bits_unsigned,2017.ASE_FiB,bv_interval,cegisyices,3,25,4
32bits_unsigned,2017.ASE_FiB,bv_interval,z3,7,25,0
32bits_unsigned,2017.ASE_FiB,bv_interval,q3b,3,29,0
32bits_unsigned,2017.ASE_FiB,bv_zone,cegisyices,5,25,2
32bits_unsigned,2017.ASE_FiB,bv_zone,z3,5,27,0
32bits_unsigned,2017.ASE_FiB,bv_zone,q3b,5,27,0
32bits_unsigned,2017.ASE_FiB,bv_poly,cegisyices,6,18,8
32bits_unsigned,2017.ASE_FiB,bv_poly,z3,6,26,0
32bits_unsigned,2017.ASE_FiB,bv_poly,q3b,4,28,0
32bits_unsigned,2017.ASE_FiB,bv_octagon,cegisyices,2,21,9
32bits_unsigned,2017.ASE_FiB,bv_octagon,z3,2,30,0
32bits_unsigned,2017.ASE_FiB,bv_octagon,q3b,1,31,0
32bits_unsigned,2018.CHI_InvGame,bv_octagon,cegisyices,0,4,1
32bits_unsigned,2018.CHI_InvGame,bv_octagon,z3,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_octagon,q3b,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_interval,cegisyices,0,4,1
32bits_unsigned,2018.CHI_InvGame,bv_interval,z3,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_interval,q3b,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_poly,cegisyices,0,3,2
32bits_unsigned,2018.CHI_InvGame,bv_poly,z3,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_poly,q3b,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_zone,cegisyices,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_zone,z3,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_zone,q3b,0,5,0
32bits_unsigned,2016.SyGuS-Comp,bv_octagon,cegisyices,12,40,15
32bits_unsigned,2016.SyGuS-Comp,bv_octagon,z3,12,55,0
32bits_unsigned,2016.SyGuS-Comp,bv_octagon,q3b,12,55,0
32bits_unsigned,2016.SyGuS-Comp,bv_zone,cegisyices,15,50,2
32bits_unsigned,2016.SyGuS-Comp,bv_zone,z3,11,56,0
32bits_unsigned,2016.SyGuS-Comp,bv_zone,q3b,14,53,0
32bits_unsigned,2016.SyGuS-Comp,bv_poly,cegisyices,9,44,14
32bits_unsigned,2016.SyGuS-Comp,bv_poly,z3,4,63,0
32bits_unsigned,2016.SyGuS-Comp,bv_poly,q3b,5,62,0
32bits_unsigned,2016.SyGuS-Comp,bv_interval,cegisyices,11,52,4
32bits_unsigned,2016.SyGuS-Comp,bv_interval,z3,12,55,0
32bits_unsigned,2016.SyGuS-Comp,bv_interval,q3b,12,55,0
64bits_unsigned,2022.multi-phase,bv_interval,cegisyices,6,16,28
64bits_unsigned,2022.multi-phase,bv_interval,z3,7,43,0
64bits_unsigned,2022.multi-phase,bv_interval,q3b,5,45,0
64bits_unsigned,2022.multi-phase,bv_octagon,cegisyices,4,15,31
64bits_unsigned,2022.multi-phase,bv_octagon,z3,4,46,0
64bits_unsigned,2022.multi-phase,bv_octagon,q3b,4,46,0
