Bits,Source,Template,Solver,Safe,Unknown,Timeout
32bits_unsigned,2022.multi-phase,bv_octagon,cegisyices,4,16,30
32bits_unsigned,2022.multi-phase,bv_octagon,z3,4,46,0
32bits_unsigned,2022.multi-phase,bv_octagon,yices2,4,46,0
32bits_unsigned,2022.multi-phase,bv_interval,cegisyices,6,16,28
32bits_unsigned,2022.multi-phase,bv_interval,z3,7,43,0
32bits_unsigned,2022.multi-phase,bv_interval,yices2,6,44,0
32bits_unsigned,2022.multi-phase,bv_poly,cegisyices,3,14,33
32bits_unsigned,2022.multi-phase,bv_poly,z3,1,49,0
32bits_unsigned,2022.multi-phase,bv_poly,yices2,2,48,0
32bits_unsigned,2022.multi-phase,bv_zone,cegisyices,3,37,10
32bits_unsigned,2022.multi-phase,bv_zone,z3,3,47,0
32bits_unsigned,2022.multi-phase,bv_zone,yices2,3,47,0
32bits_unsigned,2018.SV-Comp,bv_octagon,cegisyices,11,21,11
32bits_unsigned,2018.SV-Comp,bv_octagon,z3,13,30,0
32bits_unsigned,2018.SV-Comp,bv_octagon,yices2,12,31,0
32bits_unsigned,2018.SV-Comp,bv_zone,cegisyices,16,21,6
32bits_unsigned,2018.SV-Comp,bv_zone,z3,16,27,0
32bits_unsigned,2018.SV-Comp,bv_zone,yices2,16,27,0
32bits_unsigned,2018.SV-Comp,bv_interval,cegisyices,13,22,8
32bits_unsigned,2018.SV-Comp,bv_interval,z3,17,26,0
32bits_unsigned,2018.SV-Comp,bv_interval,yices2,13,30,0
32bits_unsigned,2018.SV-Comp,bv_poly,cegisyices,16,9,18
32bits_unsigned,2018.SV-Comp,bv_poly,z3,14,29,0
32bits_unsigned,2018.SV-Comp,bv_poly,yices2,14,29,0
32bits_unsigned,2017.ASE_FiB,bv_interval,cegisyices,4,22,6
32bits_unsigned,2017.ASE_FiB,bv_interval,z3,7,25,0
32bits_unsigned,2017.ASE_FiB,bv_interval,yices2,4,28,0
32bits_unsigned,2017.ASE_FiB,bv_zone,cegisyices,7,21,4
32bits_unsigned,2017.ASE_FiB,bv_zone,z3,6,26,0
32bits_unsigned,2017.ASE_FiB,bv_zone,yices2,7,25,0
32bits_unsigned,2017.ASE_FiB,bv_octagon,cegisyices,3,19,10
32bits_unsigned,2017.ASE_FiB,bv_octagon,z3,3,29,0
32bits_unsigned,2017.ASE_FiB,bv_octagon,yices2,2,30,0
32bits_unsigned,2017.ASE_FiB,bv_poly,cegisyices,8,8,16
32bits_unsigned,2017.ASE_FiB,bv_poly,z3,7,25,0
32bits_unsigned,2017.ASE_FiB,bv_poly,yices2,5,27,0
32bits_unsigned,2018.CHI_InvGame,bv_poly,cegisyices,1,2,2
32bits_unsigned,2018.CHI_InvGame,bv_poly,z3,1,4,0
32bits_unsigned,2018.CHI_InvGame,bv_poly,yices2,1,4,0
32bits_unsigned,2018.CHI_InvGame,bv_octagon,cegisyices,1,2,2
32bits_unsigned,2018.CHI_InvGame,bv_octagon,z3,2,3,0
32bits_unsigned,2018.CHI_InvGame,bv_octagon,yices2,0,5,0
32bits_unsigned,2018.CHI_InvGame,bv_interval,cegisyices,1,2,2
32bits_unsigned,2018.CHI_InvGame,bv_interval,z3,2,3,0
32bits_unsigned,2018.CHI_InvGame,bv_interval,yices2,1,4,0
32bits_unsigned,2018.CHI_InvGame,bv_zone,cegisyices,1,2,2
32bits_unsigned,2018.CHI_InvGame,bv_zone,z3,2,3,0
32bits_unsigned,2018.CHI_InvGame,bv_zone,yices2,1,4,0
32bits_unsigned,2016.SyGuS-Comp,bv_interval,cegisyices,24,33,10
32bits_unsigned,2016.SyGuS-Comp,bv_interval,z3,25,42,0
32bits_unsigned,2016.SyGuS-Comp,bv_interval,yices2,24,43,0
32bits_unsigned,2016.SyGuS-Comp,bv_poly,cegisyices,24,23,20
32bits_unsigned,2016.SyGuS-Comp,bv_poly,z3,19,48,0
32bits_unsigned,2016.SyGuS-Comp,bv_poly,yices2,17,50,0
32bits_unsigned,2016.SyGuS-Comp,bv_octagon,cegisyices,24,28,15
32bits_unsigned,2016.SyGuS-Comp,bv_octagon,z3,23,44,0
32bits_unsigned,2016.SyGuS-Comp,bv_octagon,yices2,26,41,0
32bits_unsigned,2016.SyGuS-Comp,bv_zone,cegisyices,34,27,6
32bits_unsigned,2016.SyGuS-Comp,bv_zone,z3,29,38,0
32bits_unsigned,2016.SyGuS-Comp,bv_zone,yices2,34,33,0
64bits_unsigned,2022.multi-phase,bv_interval,cegisyices,5,16,29
64bits_unsigned,2022.multi-phase,bv_interval,z3,7,43,0
64bits_unsigned,2022.multi-phase,bv_interval,yices2,6,44,0
64bits_unsigned,2022.multi-phase,bv_poly,cegisyices,3,9,38
64bits_unsigned,2022.multi-phase,bv_poly,z3,0,50,0
64bits_unsigned,2022.multi-phase,bv_poly,yices2,2,48,0
64bits_unsigned,2022.multi-phase,bv_zone,cegisyices,3,34,13
64bits_unsigned,2022.multi-phase,bv_zone,z3,3,47,0
64bits_unsigned,2022.multi-phase,bv_zone,yices2,3,47,0
64bits_unsigned,2022.multi-phase,bv_octagon,cegisyices,4,15,31
64bits_unsigned,2022.multi-phase,bv_octagon,z3,4,46,0
64bits_unsigned,2022.multi-phase,bv_octagon,yices2,4,46,0
64bits_unsigned,2018.SV-Comp,bv_interval,cegisyices,14,21,8
64bits_unsigned,2018.SV-Comp,bv_interval,z3,16,27,0
64bits_unsigned,2018.SV-Comp,bv_interval,yices2,13,30,0
64bits_unsigned,2018.SV-Comp,bv_poly,cegisyices,16,7,20
64bits_unsigned,2018.SV-Comp,bv_poly,z3,15,28,0
64bits_unsigned,2018.SV-Comp,bv_poly,yices2,14,29,0
64bits_unsigned,2018.SV-Comp,bv_octagon,cegisyices,11,21,11
64bits_unsigned,2018.SV-Comp,bv_octagon,z3,11,32,0
64bits_unsigned,2018.SV-Comp,bv_octagon,yices2,12,31,0
64bits_unsigned,2018.SV-Comp,bv_zone,cegisyices,16,20,7
64bits_unsigned,2018.SV-Comp,bv_zone,z3,15,28,0
64bits_unsigned,2018.SV-Comp,bv_zone,yices2,16,27,0
64bits_unsigned,2017.ASE_FiB,bv_poly,cegisyices,8,7,17
64bits_unsigned,2017.ASE_FiB,bv_poly,z3,6,26,0
64bits_unsigned,2017.ASE_FiB,bv_poly,yices2,5,27,0
64bits_unsigned,2017.ASE_FiB,bv_interval,cegisyices,4,21,7
64bits_unsigned,2017.ASE_FiB,bv_interval,z3,6,26,0
64bits_unsigned,2017.ASE_FiB,bv_interval,yices2,4,28,0
64bits_unsigned,2017.ASE_FiB,bv_octagon,cegisyices,3,19,10
64bits_unsigned,2017.ASE_FiB,bv_octagon,z3,2,30,0
64bits_unsigned,2017.ASE_FiB,bv_octagon,yices2,2,30,0
64bits_unsigned,2017.ASE_FiB,bv_zone,cegisyices,7,20,5
64bits_unsigned,2017.ASE_FiB,bv_zone,z3,5,27,0
64bits_unsigned,2017.ASE_FiB,bv_zone,yices2,7,25,0
64bits_unsigned,2018.CHI_InvGame,bv_zone,cegisyices,1,2,2
64bits_unsigned,2018.CHI_InvGame,bv_zone,z3,2,3,0
64bits_unsigned,2018.CHI_InvGame,bv_zone,yices2,1,4,0
64bits_unsigned,2018.CHI_InvGame,bv_interval,cegisyices,0,2,3
64bits_unsigned,2018.CHI_InvGame,bv_interval,z3,1,4,0
64bits_unsigned,2018.CHI_InvGame,bv_interval,yices2,1,4,0
64bits_unsigned,2018.CHI_InvGame,bv_octagon,cegisyices,1,2,2
64bits_unsigned,2018.CHI_InvGame,bv_octagon,z3,1,4,0
64bits_unsigned,2018.CHI_InvGame,bv_octagon,yices2,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_poly,cegisyices,1,2,2
64bits_unsigned,2018.CHI_InvGame,bv_poly,z3,1,4,0
64bits_unsigned,2018.CHI_InvGame,bv_poly,yices2,1,4,0
64bits_unsigned,2016.SyGuS-Comp,bv_zone,cegisyices,35,24,8
64bits_unsigned,2016.SyGuS-Comp,bv_zone,z3,26,41,0
64bits_unsigned,2016.SyGuS-Comp,bv_zone,yices2,31,36,0
64bits_unsigned,2016.SyGuS-Comp,bv_poly,cegisyices,24,18,25
64bits_unsigned,2016.SyGuS-Comp,bv_poly,z3,18,49,0
64bits_unsigned,2016.SyGuS-Comp,bv_poly,yices2,17,50,0
64bits_unsigned,2016.SyGuS-Comp,bv_octagon,cegisyices,22,25,20
64bits_unsigned,2016.SyGuS-Comp,bv_octagon,z3,18,49,0
64bits_unsigned,2016.SyGuS-Comp,bv_octagon,yices2,23,44,0
64bits_unsigned,2016.SyGuS-Comp,bv_interval,cegisyices,24,32,11
